,cell_type,train_val_test
0,CD4+/CD25+ regulatory T cells,train
1,CD4+/CD25+ regulatory T cells,train
2,CD4+/CD25+ regulatory T cells,train
3,CD4+/CD25+ regulatory T cells,train
4,CD4+/CD25+ regulatory T cells,train
5,CD4+/CD25+ regulatory T cells,train
6,CD4+/CD25+ regulatory T cells,train
7,CD4+/CD25+ regulatory T cells,train
8,CD4+/CD25+ regulatory T cells,train
9,CD4+/CD25+ regulatory T cells,train
10,CD4+/CD25+ regulatory T cells,train
11,CD4+/CD25+ regulatory T cells,train
12,CD4+/CD25+ regulatory T cells,train
13,CD4+/CD25+ regulatory T cells,train
14,CD4+/CD25+ regulatory T cells,validation
15,CD4+/CD25+ regulatory T cells,train
16,CD4+/CD25+ regulatory T cells,train
17,CD4+/CD25+ regulatory T cells,test
18,CD4+/CD25+ regulatory T cells,test
19,CD4+/CD25+ regulatory T cells,train
20,CD4+/CD25+ regulatory T cells,train
21,CD4+/CD25+ regulatory T cells,train
22,CD4+/CD25+ regulatory T cells,train
23,CD4+/CD25+ regulatory T cells,train
24,CD4+/CD25+ regulatory T cells,validation
25,CD4+/CD25+ regulatory T cells,train
26,CD4+/CD25+ regulatory T cells,validation
27,CD4+/CD25+ regulatory T cells,train
28,CD4+/CD25+ regulatory T cells,train
29,CD4+/CD25+ regulatory T cells,train
30,CD4+/CD25+ regulatory T cells,test
31,CD4+/CD25+ regulatory T cells,validation
32,CD4+/CD25+ regulatory T cells,train
33,CD4+/CD25+ regulatory T cells,train
34,CD4+/CD25+ regulatory T cells,train
35,CD4+/CD25+ regulatory T cells,train
36,CD4+/CD25+ regulatory T cells,train
37,CD4+/CD25+ regulatory T cells,train
38,CD4+/CD25+ regulatory T cells,train
39,CD4+/CD25+ regulatory T cells,train
40,CD4+/CD25+ regulatory T cells,train
41,CD4+/CD25+ regulatory T cells,validation
42,CD4+/CD25+ regulatory T cells,train
43,CD4+/CD25+ regulatory T cells,train
44,CD4+/CD25+ regulatory T cells,train
45,CD4+/CD25+ regulatory T cells,test
46,CD4+/CD25+ regulatory T cells,train
47,CD4+/CD25+ regulatory T cells,train
48,CD4+/CD25+ regulatory T cells,train
49,CD4+/CD25+ regulatory T cells,train
50,CD4+/CD25+ regulatory T cells,train
51,CD4+/CD25+ regulatory T cells,validation
52,CD4+/CD25+ regulatory T cells,train
53,CD4+/CD25+ regulatory T cells,validation
54,CD4+/CD25+ regulatory T cells,train
55,CD4+/CD25+ regulatory T cells,test
56,CD4+/CD25+ regulatory T cells,train
57,CD4+/CD25+ regulatory T cells,train
58,CD4+/CD25+ regulatory T cells,test
59,CD4+/CD25+ regulatory T cells,train
60,CD4+/CD25+ regulatory T cells,train
61,CD4+/CD25+ regulatory T cells,test
62,CD4+/CD25+ regulatory T cells,train
63,CD4+/CD25+ regulatory T cells,train
64,CD4+/CD25+ regulatory T cells,train
65,CD4+/CD25+ regulatory T cells,train
66,CD4+/CD25+ regulatory T cells,train
67,CD4+/CD25+ regulatory T cells,train
68,CD4+/CD25+ regulatory T cells,validation
69,CD4+/CD25+ regulatory T cells,train
70,CD4+/CD25+ regulatory T cells,train
71,CD4+/CD25+ regulatory T cells,train
72,CD4+/CD25+ regulatory T cells,train
73,CD4+/CD25+ regulatory T cells,validation
74,CD4+/CD25+ regulatory T cells,train
75,CD4+/CD25+ regulatory T cells,train
76,CD4+/CD25+ regulatory T cells,train
77,CD4+/CD25+ regulatory T cells,train
78,CD4+/CD25+ regulatory T cells,train
79,CD4+/CD25+ regulatory T cells,train
80,CD4+/CD25+ regulatory T cells,train
81,CD4+/CD25+ regulatory T cells,train
82,CD4+/CD25+ regulatory T cells,train
83,CD4+/CD25+ regulatory T cells,train
84,CD4+/CD25+ regulatory T cells,train
85,CD4+/CD25+ regulatory T cells,train
86,CD4+/CD25+ regulatory T cells,train
87,CD4+/CD25+ regulatory T cells,train
88,CD4+/CD25+ regulatory T cells,validation
89,CD4+/CD25+ regulatory T cells,validation
90,CD4+/CD25+ regulatory T cells,test
91,CD4+/CD25+ regulatory T cells,train
92,CD4+/CD25+ regulatory T cells,train
93,CD4+/CD25+ regulatory T cells,train
94,CD4+/CD25+ regulatory T cells,train
95,CD4+/CD25+ regulatory T cells,train
96,CD4+/CD25+ regulatory T cells,train
97,CD4+/CD25+ regulatory T cells,test
98,CD4+/CD25+ regulatory T cells,train
99,CD4+/CD25+ regulatory T cells,train
100,CD4+/CD25+ regulatory T cells,train
101,CD4+/CD25+ regulatory T cells,test
102,CD4+/CD25+ regulatory T cells,train
103,CD4+/CD25+ regulatory T cells,test
104,CD4+/CD25+ regulatory T cells,train
105,CD4+/CD25+ regulatory T cells,test
106,CD4+/CD25+ regulatory T cells,test
107,CD4+/CD25+ regulatory T cells,train
108,CD4+/CD25+ regulatory T cells,train
109,CD4+/CD25+ regulatory T cells,train
110,CD4+/CD25+ regulatory T cells,train
111,CD4+/CD25+ regulatory T cells,test
112,CD4+/CD25+ regulatory T cells,train
113,CD4+/CD25+ regulatory T cells,train
114,CD4+/CD25+ regulatory T cells,train
115,CD4+/CD25+ regulatory T cells,train
116,CD4+/CD25+ regulatory T cells,train
117,CD4+/CD25+ regulatory T cells,train
118,CD4+/CD25+ regulatory T cells,train
119,CD4+/CD25+ regulatory T cells,train
120,CD4+/CD25+ regulatory T cells,train
121,CD4+/CD25+ regulatory T cells,validation
