,gene_ID,gene_name
0,ENSG00000243485,MIR1302-10
1,ENSG00000237613,FAM138A
2,ENSG00000186092,OR4F5
3,ENSG00000238009,RP11-34P13.7
4,ENSG00000239945,RP11-34P13.8
5,ENSG00000237683,AL627309.1
6,ENSG00000239906,RP11-34P13.14
7,ENSG00000241599,RP11-34P13.9
8,ENSG00000228463,AP006222.2
9,ENSG00000237094,RP4-669L17.10
10,ENSG00000235249,OR4F29
11,ENSG00000236601,RP4-669L17.2
12,ENSG00000236743,RP5-857K21.15
13,ENSG00000231709,RP5-857K21.1
14,ENSG00000235146,RP5-857K21.2
15,ENSG00000239664,RP5-857K21.3
16,ENSG00000230021,RP5-857K21.4
17,ENSG00000223659,RP5-857K21.5
18,ENSG00000185097,OR4F16
19,ENSG00000235373,RP11-206L10.3
20,ENSG00000240618,RP11-206L10.5
21,ENSG00000229905,RP11-206L10.4
22,ENSG00000228327,RP11-206L10.2
23,ENSG00000237491,RP11-206L10.9
24,ENSG00000269831,AL669831.1
25,ENSG00000177757,FAM87B
26,ENSG00000225880,LINC00115
27,ENSG00000230368,FAM41C
28,ENSG00000269308,AL645608.2
29,ENSG00000272438,RP11-54O7.16
30,ENSG00000230699,RP11-54O7.1
31,ENSG00000241180,RP11-54O7.2
32,ENSG00000223764,RP11-54O7.3
33,ENSG00000187634,SAMD11
34,ENSG00000268179,AL645608.1
35,ENSG00000188976,NOC2L
36,ENSG00000187961,KLHL17
37,ENSG00000187583,PLEKHN1
38,ENSG00000187642,C1orf170
39,ENSG00000272512,RP11-54O7.17
40,ENSG00000188290,HES4
41,ENSG00000224969,RP11-54O7.11
42,ENSG00000187608,ISG15
43,ENSG00000188157,AGRN
44,ENSG00000273443,RP11-54O7.18
45,ENSG00000237330,RNF223
46,ENSG00000131591,C1orf159
47,ENSG00000223823,RP11-465B22.5
48,ENSG00000272141,RP11-465B22.8
49,ENSG00000205231,TTLL10-AS1
50,ENSG00000162571,TTLL10
51,ENSG00000186891,TNFRSF18
52,ENSG00000186827,TNFRSF4
53,ENSG00000078808,SDF4
54,ENSG00000176022,B3GALT6
55,ENSG00000184163,FAM132A
56,ENSG00000260179,RP5-902P8.12
57,ENSG00000160087,UBE2J2
58,ENSG00000230415,RP5-902P8.10
